date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:31:50	16648/16648	---M--	200	added ('OK')	image/jpeg	etag:%225a2334a0-4108%22	https://x-tape.ru/assets/images/products/69/345x345/01-korobka-bezhevaya.jpg	/home/idealasgas/websites/tapes/x-tape.ru/assets/images/products/69/345x345/01-korobka-bezhevaya.jpg	(from https://x-tape.ru/catalog/)
11:31:50	29199/29199	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Nov%202018%2008:31:50%20GMT	https://x-tape.ru/catalog/sale/kinezio-tejp-x-tape-25-upakovok.html	/home/idealasgas/websites/tapes/x-tape.ru/catalog/sale/kinezio-tejp-x-tape-25-upakovok.html	(from https://x-tape.ru/catalog/)
11:31:50	22256/22256	---M--	200	added ('OK')	image/jpeg	etag:%225931c1d9-56f0%22	https://x-tape.ru/assets/images/products/29/345x345/green-tape.jpg	/home/idealasgas/websites/tapes/x-tape.ru/assets/images/products/29/345x345/green-tape.jpg	(from https://x-tape.ru/catalog/)
11:31:50	28471/28471	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Nov%202018%2008:31:50%20GMT	https://x-tape.ru/catalog/tape/kinezio-tejp-x-tape-zelenyij.html	/home/idealasgas/websites/tapes/x-tape.ru/catalog/tape/kinezio-tejp-x-tape-zelenyij.html	(from https://x-tape.ru/catalog/)
11:31:51	16648/16648	---M--	200	added ('OK')	image/jpeg	etag:%225a2334bd-4108%22	https://x-tape.ru/assets/images/products/70/345x345/01-korobka-bezhevaya.jpg	/home/idealasgas/websites/tapes/x-tape.ru/assets/images/products/70/345x345/01-korobka-bezhevaya.jpg	(from https://x-tape.ru/catalog/)
11:31:51	30117/30117	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Nov%202018%2008:31:51%20GMT	https://x-tape.ru/catalog/sale/kinezio-tejp-x-tape-50-upakovok.html	/home/idealasgas/websites/tapes/x-tape.ru/catalog/sale/kinezio-tejp-x-tape-50-upakovok.html	(from https://x-tape.ru/catalog/)
11:31:51	16648/16648	---M--	200	added ('OK')	image/jpeg	etag:%225a2334ce-4108%22	https://x-tape.ru/assets/images/products/71/345x345/01-korobka-bezhevaya.jpg	/home/idealasgas/websites/tapes/x-tape.ru/assets/images/products/71/345x345/01-korobka-bezhevaya.jpg	(from https://x-tape.ru/catalog/)
11:31:51	29205/29205	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Nov%202018%2008:31:51%20GMT	https://x-tape.ru/catalog/sale/kinezio-tejp-x-tape-100-upakovok.html	/home/idealasgas/websites/tapes/x-tape.ru/catalog/sale/kinezio-tejp-x-tape-100-upakovok.html	(from https://x-tape.ru/catalog/)
11:31:52	22613/22613	---M--	200	added ('OK')	image/jpeg	etag:%225931c20e-5855%22	https://x-tape.ru/assets/images/products/40/345x345/darkblue-tape.jpg	/home/idealasgas/websites/tapes/x-tape.ru/assets/images/products/40/345x345/darkblue-tape.jpg	(from https://x-tape.ru/catalog/)
11:31:52	28887/28887	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Nov%202018%2008:31:52%20GMT	https://x-tape.ru/catalog/tape/kinezio-tejp-x-tape-sinij.html	/home/idealasgas/websites/tapes/x-tape.ru/catalog/tape/kinezio-tejp-x-tape-sinij.html	(from https://x-tape.ru/catalog/)
